"year","JanFeb_ice","MarApr_ice"
1972,-0.0379708714146712,0.921736656192905
1973,-0.141681632472324,0.903147658743725
1974,0.0480165409627324,0.718701534660039
1975,0.856051959503568,1.19082467024682
1976,1.36458658180297,1.92393999084606
1977,0.552713228051295,0.60176395656091
1978,-0.867574379142231,-0.604820793301995
1979,-1.69787949116063,-1.44720866076502
1980,0.494390028533425,-0.03701668199807
1981,0.392357194821151,-0.714544104761444
1982,-0.801545290912938,-1.0514778184254
1983,0.290332377175611,-0.231584403897556
1984,-0.298335316029999,0.583000697827559
1985,-1.7922615481651,0.0491707478647277
1986,-0.575157308414304,0.392946365617255
1987,-0.539304966098078,-0.626375184877747
1988,-0.660663135785329,0.739558277323046
1989,-0.413854257917754,-1.82504364614948
1990,0.650567356913594,0.246449514283801
1991,0.882094077669144,0.623346797420011
1992,0.413032145547421,1.0215897879918
1993,0.000431242045843855,-0.159170348763913
1994,-0.251477961058466,0.730204427065402
1995,0.985224701673417,0.845203783328543
1996,-0.446138788294136,-1.29924145638297
1997,0.153067532134199,0.162489056527747
1998,1.27077521168099,-0.227987527405945
1999,0.36750047704346,0.626244085379998
2000,1.01267783010056,-0.581993743732047
2001,-1.6385161054879,-1.32299950238888
2002,1.5680362699599,-0.806138276112647
2003,-0.416407901865696,-0.781089831795129
2004,-0.392250962855036,-0.473880283329157
2005,-0.866534947631179,-0.524000417028529
2006,1.1474692446049,-0.409475099220146
2007,0.0136694298919905,0.139848474490077
2008,0.55843663696183,1.48024028818601
2009,1.31725928101299,0.594951149260817
2010,0.80381106351662,1.32991717645543
2011,0.0513987486788348,-0.337804784338469
2012,1.46231091320958,1.67951151476443
2013,1.01133720670024,1.09802542279431
2014,-0.583163328410415,-0.481235239100071
2015,-1.07316855477463,-0.579743012019258
2016,-1.2578630215861,-0.804236038972875
2017,-1.09622107562931,-0.741073446640223
2018,-1.81957643509005,-2.53467173242446
