"","AKFIN_SURVEY_YEAR","AVG_TEMP"
"1",1980,1.85367647058824
"2",1981,2.89133333333333
"3",1982,1.9797619047619
"4",1983,1.97931034482759
"5",1984,1.01085714285714
"6",1985,1.50778443113772
"7",1986,0.810982658959538
"8",1987,2.48977272727273
"9",1988,1.01304347826087
"10",1989,2.5032967032967
"11",1990,0.971604938271605
"12",1991,1.14207317073171
"13",1992,0.585029940119761
"14",1993,2.00532544378698
"15",1994,0.277697841726619
"16",1995,0.310404624277457
"17",1996,2.29081081081081
"18",1997,1.4849710982659
"19",1998,2.22784090909091
"20",1999,0.114035087719298
"21",2000,1.45555555555556
"22",2001,1.50454545454545
"23",2002,2.33976608187134
"24",2003,2.77044025157233
"25",2004,2.15411764705882
"26",2005,2.31348314606742
"27",2006,0.602702702702703
"28",2007,0.438502673796791
"29",2008,0.217647058823529
"30",2009,0.106417112299465
"31",2010,0.406417112299465
"32",2011,1.36791443850267
"33",2012,-0.16505376344086
"34",2013,0.415508021390374
"35",2014,1.73636363636364
"36",2015,1.69572192513369
"37",2016,2.90213903743316
"38",2017,1.52451612903226
"39",2018,3.50978260869565
"40",2019,3.33208556149733
"41",2021,2.72108108108108
"42",2022,1.00251572327044
