year,pollockR1,codR0,pollock3plus,codbiomass,ylfinbiomass
1964,6337,,1691,,841190
1965,20787,,2056,,823902
1966,14996,,2215,,874130
1967,25441,,3436,,865892
1968,22104,,3950,,803119
1969,26139,,5039,,840381
1970,23507,,5693,,831048
1971,14428,,6144,,913093
1972,11754,,5838,,1004630
1973,26747,,4674,,1282430
1974,19457,,3425,,1557480
1975,16441,,3519,,1931240
1976,12513,,3428,,2266300
1977,12877,,3317,,2602960
1978,22902,739800,3122,366584,2920350
1979,54088,812290,2935,386914,3097980
1980,24958,183931,3594,511542,3294130
1981,29948,196406,6738,721876,3472530
1982,17395,1049655,7791,979123,3596580
1983,51672,240709,8968,1243839,3570740
1984,14059,958395,8967,1292753,3822390
1985,34098,420459,11304,1304068,3842710
1986,13681,232098,10796,1367008,3544930
1987,7605,74246,11510,1366961,3526410
1988,5689,308456,10913,1381348,3429020
1989,10981,609687,9247,1363440,3497640
1990,48236,606608,7400,1220042,3357890
1991,25170,381991,5862,1086374,3479890
1992,22282,953841,9121,930447,3693160
1993,44608,353270,11257,822215,3760580
1994,15177,302236,11042,897191,3810610
1995,10484,269392,12625,904501,3562460
1996,22267,896383,10996,952160,3470810
1997,30192,356588,9468,957733,3502830
1998,14736,296257,9435,837148,3201910
1999,15802,711417,10337,746404,2990320
2000,24670,531110,9495,779774,2823360
2001,34516,209473,9205,820066,2815840
2002,23002,370861,9478,887764,2868870
2003,14037,318168,11419,880833,3167540
2004,6338,233180,10749,857966,3292090
2005,4510,301897,8967,787497,3352180
2006,11386,847684,6838,694262,3376190
2007,24385,322339,5495,612652,3294640
2008,13075,1250607,4452,571794,3152100
2009,48836,188396,5574,603682,3167340
2010,22100,756808,5890,696878,3308680
2011,13404,1048211,8342,814895,3259250
2012,11484,465052,8372,856252,3089540
2013,43869,1252542,8273,909149,2971180
2014,49716,220133,7666,949925,2947440
2015,18676,325722,9870,1036473,2936120
2016,7339,221693,12681,1149517,2983790
2017,9628,155833,11840,1153093,3018220
2018,16951,838971,9343,1086455,2809720
2019,79891,169273,8497,998928,3010490
2020,21402,358465,7299,896588,3065090
2021,17510,,12867,853480,3443250
2022,,,13393,853393,3782420
