Season ,Harvest
1978,1716124
1979,32187039
1980,39572668
1981,52750034
1982,29355374
1983,26128410
1984,26813074
1985,66010484
1986,97684139
1987,101903388
1988,134060185
1989,148306262
1990,161656405
1991,328648169
1992,315302034
1993,230754145
1994,149792718
1995,75309187
1996,65696173
1997,119589339
1998,252339284
1999,194363869
2000,33291344
2001,25256384
2002,32633210
2003,28316923
2004,23942373
2005,24892128
2006,36973890
2007,36355649
2008,63028036
2009,58547849
2010,48014089
2011,54263200
2012,88830652
2013,66254528
2014,53983286
2015,67941587
2016,40611446
2017,21570915
2018,18963473
2019,27578244
2020,34024553
2021,45001190
2022,5548238
2023,0
