year,male_lt95,male_ge95,legal_male ,industry_male,immature_female,mature_female
1988,331332,144135,246515,105695,36803,165619
1989,372788,143216,291753,92421,23265,256728
1990,306733,347750,521713,225142,38213,174942
1991,293255,347976,477618,278678,68925,199020
1992,179621,166483,223585,139020,49374,123479
1993,273570,98857,143013,77228,74921,127081
1994,289633,57386,109683,44637,68240,122604
1995,368026,61758,158155,38179,31019,164959
1996,341043,143856,312771,89015,9274,104429
1997,209131,232388,362928,171516,5452,101393
1998,100536,164119,219422,127490,13324,70183
1999,44127,67352,87096,52043,6160,29849
2000,77782,53942,76830,41129,12480,93882
2001,167671,56449,106070,39995,17033,74840
2002,83002,55907,100734,37172,4388,29508
2003,81606,44423,72396,31535,14838,38761
2004,89330,44162,61726,35580,30472,47743
2005,184025,50072,105971,39847,55125,62603
2006,124579,90152,141960,72344,28090,50592
2007,140003,99875,162108,74720,27875,54449
2008,114297,79600,123530,60329,8994,49352
2009,98468,103188,149588,77510,29660,50002
2010,146025,105278,134170,87099,90479,94956
2011,149214,111662,145916,94381,41232,169117
2012,123683,67476,104438,53152,41425,143268
2013,100506,58389,99733,43126,31364,125672
2014,140092,105441,151453,79510,54523,111362
2015,85434,46410,71550,35838,35701,81628
2016,103747,29961,51670,21997,53788,52022
2017,188851,29363,52272,20740,66242,103422
2018,458901,47054,130474,27018,83164,161573
2019,284181,54550,175907,28955,5125,106799
2021,49158,24387,60095,12437,298,29844
2022,37727,20403,33447,13494,26219,20941
2023,35388,15493,20999,11441,22378,15010
