Season ,Ex-vessel,,,,,,
1980,8262308,,,,,,
1981,13629615,,,,,,
1982,23458057,,,,,,
1983,9425499,,,,,,
1984,7804284,,,,,,
1985,19483890,,,,,,
1986,52721553,,,,,,
1987,77815458,,,,,,
1988,108645549,,,,,,
1989,112144331,,,,,,
1990,122459171,,,,,,
1991,158683336,,,,,,
1992,184951171,,,,,,
1993,212377174,,,,,,
1994,233301131,,,,,,
1995,180489720,,,,,,
1996,84200277,,,,,,
1997,83787925,,,,,,
1998,137642743,,,,,,
1999,169366879,,,,,,
2000,59659349,,,,,,
2001,36833621,,,,,,
2002,58674555,,,,,,
2003,48496278,,,,,,
2004,48359092,,,,,,
2005,44144504,,,,,,
2006,55291202,,,,,,
2007,49111061,,,,,,
2008,102072731,,,,,,
2009,79464730,,,,,,
2010,53645621,,,,,,
2011,115523133,,,,,,
2012,166973717,,,,,,
2013,133088320,,,,,,
2014,115438494,,,,,,
2015,112275497,,,,,,
2016,80936867,,,,,,
2017,58026393,,,,,,
2018,56464897,,,,,,
2019,82036383,,,,,,
2020,105928621,,,,,,
2021,132857821,,,,,,
2022,24384308,,,,,,
2023,0,,,,,,
