"year","historical","preindustrial","FAR","RR"
1972,0.65490689763252,0.57481252121048,0.12229887440731,1.13933999950692
1973,0.647528390277033,0.579271026594204,0.105412155988444,1.11783320854859
1974,0.661932247260509,0.593452332950358,0.10345456743279,1.11539244267472
1975,0.857275147953787,0.794858676741617,0.0728079792831396,1.07852524359177
1976,0.837313340657297,0.797080207891506,0.0480502708032907,1.05047563892249
1977,0.389057548237909,0.283061050466195,0.27244426499829,1.37446514664289
1978,0.0873101425640411,0.0478429627718562,0.452034307047845,1.82493176646246
1979,0.0154860751244733,0.0038778975805265,0.749588094507039,3.99342035288378
1980,0.0743270990011975,0.049496559535268,0.334071150355666,1.50166192759796
1981,0.0420651982112051,0.0216186831331464,0.48606724673919,1.9457798586589
1982,0.0495923209575985,0.0289589566822488,0.416059661595417,1.71250371695875
1983,0.157544240521408,0.115911304093147,0.26426187520707,1.35917925998662
1984,0.411807703248753,0.341424968457726,0.1709116518117,1.20614407642463
1985,0.223240318539543,0.167958000631235,0.247635903182584,1.32914370080937
1986,0.221525277616169,0.159863342508767,0.278351688669327,1.38571653851176
1987,0.0587635162134259,0.0309238233296515,0.473758118603082,1.90026684562902
1988,0.28275265954456,0.205408954754589,0.273538381264216,1.37653521426258
1989,0.0282209154803154,0.00965957777345398,0.657715647807679,2.9215475191753
1990,0.338677176927197,0.242256305184029,0.284698463055559,1.39801181508949
1991,0.470656813009188,0.352289035196804,0.251494878095122,1.33599620194327
1992,0.65380475044356,0.529751889869589,0.189739919279893,1.23417162438913
1993,0.233359008539373,0.12912289907837,0.446677032583534,1.80726277217287
1994,0.493293424524885,0.331798299087517,0.327381467922286,1.48672680324612
1995,0.653552836896724,0.492222076061611,0.24685190198418,1.32776010805115
1996,0.0650296552070744,0.0203179966633447,0.687557982605844,3.20059385206973
1997,0.280044945212484,0.133058643141562,0.52486682792791,2.10467308699775
1998,0.252335136938002,0.107524104547597,0.573883741074016,2.34677738540293
1999,0.518571966937014,0.289602969332885,0.441537553517504,1.79063069737017
2000,0.234629603775587,0.0878753498634342,0.62547202718936,2.67002753491419
2001,0.0636835388983007,0.0131628716301545,0.793308100368371,4.83811896732394
2002,0.108204885768638,0.0273347124414245,0.747380053615406,3.95851560540503
2003,0.0804646686204427,0.0164832185356798,0.795149612640148,4.88161146721847
2004,0.126728507288328,0.0277950082150735,0.780672803540286,4.55939808715733
2005,0.0956419467057436,0.0173352354425906,0.818748613556298,5.51719917635283
2006,0.508440134625051,0.214648777395592,0.577828808589462,2.36870734040106
2007,0.776088568726665,0.492222076061611,0.365765589268756,1.57670410668359
2008,0.891232325311518,0.651231420040181,0.269291068619452,1.36853397714829
2009,0.895215580278802,0.658584151263746,0.264328988712821,1.35930325465772
2010,0.926965096888988,0.705650190433858,0.238752146329878,1.31363260359791
2011,0.514977261508864,0.156471131210821,0.696159145449711,3.29119664134728
2012,0.961028531660155,0.794538502873814,0.173241504597926,1.20954305950455
2013,0.865032004404173,0.514193769090015,0.405578329504482,1.68230744206614
2014,0.312368314745178,0.0342523297147508,0.890346337647296,9.11962244164244
2015,0.200153075669472,0.0103951514561839,0.948063993413969,19.254464594684
2016,0.0695355188421471,0.00177592112649291,0.974460230453958,39.1546211173611
2017,0.375426341638529,0.0333309100717842,0.911218509797919,11.2636090892802
2018,0.0418144576538609,0.00074555601524097,0.982169898712721,56.0849309764419
2019,0.0434880504380315,0.00074555601524097,0.982856071777617,58.3296889154276
2020,0.200586469289127,0.00532653176700226,0.973445209011957,37.6579879860579
2021,0.212690685502182,0.00546773935017368,0.97429253031338,38.899199811971
2022,0.672781511980335,0.129405476729973,0.807656015473631,5.19901884357036
