"","year","small_log_cpue_bycatch","large_log_cpue_bycatch","small_log_cpue_directed","large_log_cpue_directed"
"1",1988,1.52364003815339,2.32963662647454,NA,NA
"2",1989,1.30770625422345,2.86578444509434,NA,NA
"3",1990,2.19104436595549,3.49845724294883,NA,NA
"4",1991,3.07916444964231,3.93662921739472,NA,NA
"5",1992,3.67301930089847,3.86539067277739,NA,NA
"6",1993,4.91292914184173,5.18951328180929,NA,NA
"7",1994,2.58405687814305,4.03687438618885,NA,NA
"8",1995,3.10183430501897,4.65877226824,0.046987032032882,4.35656360772595
"9",1996,2.59564607093782,4.76110512087301,0.0555554135361514,4.46954962501374
"10",1997,3.14579059667553,4.59871339333176,0.0221024168776429,4.31926038578465
"11",1998,3.34100312260348,4.50454243923374,0.0965875701732306,4.00668712910392
"12",1999,2.07224337877077,3.80201370121793,0.0209457298212753,3.55731807715879
"13",2000,3.0894097900073,4.22840433266721,0.00790517950711325,2.82516493770513
"14",2001,2.10520869346198,4.03029499767385,0.0117765374176225,2.76282758494833
"15",2002,2.06734450581058,3.51761439291327,0.0411179686083753,3.3864107401707
"16",2003,1.45483815116912,3.21672915574214,0.115204947961706,4.36060837194408
"17",2004,2.73449028515387,3.57517241258485,0.0215129596729919,2.88045532361622
"18",2005,3.79458846848109,3.88975937393798,0.0863885777264394,3.83330991745913
"19",2006,1.79421974895513,3.60044687446794,0.0679264812570701,3.84469909719093
"20",2007,1.54890171775467,3.92004488407006,0.0333598786224584,4.62219111568158
"21",2008,1.50608608689352,3.72582852608452,0.0175285696943636,4.10347261641222
"22",2009,0.863935955180238,3.61915734065707,0.00293417874255947,3.72218623170154
"23",2010,2.03670354046588,4.40865623013441,0.0146223700860789,3.5401058506038
"24",2011,2.4312323759208,3.89184394519313,0.0027510333718898,2.33473607311909
"25",2012,2.6392089430336,3.72742758020537,0.213148564489324,3.33240900505161
"26",2013,1.43390708539879,3.81380543733121,0.0358354825120874,3.62519012533207
"27",2014,2.14046384656782,3.51394864679922,0.0488760413398382,4.24385306971187
"28",2015,2.74932138401597,3.57735913557967,0.0783652370553783,4.39967355034359
"29",2016,1.96193126786256,3.02512605438567,0.0529496218585075,4.00320572651284
"30",2017,1.37290335842686,3.02142691873206,0.0152541109170556,4.04705346704864
"31",2018,3.67594944593782,4.75663529345725,0.158343819057615,4.63027587257332
"32",2019,2.49323697253902,4.49566722658875,0.178530213115381,5.1652714482244
"33",2020,2.25183188765354,4.34816685670287,0.0753304726786753,5.11367997200161
"34",2021,2.05393469031061,3.8255807149949,0.00508270963964888,4.61559051078494
"35",2022,0.986311066448282,4.00440097005389,0,3.30809321296831
