"","year","log_backtransformed_mean_cpue","log_backtransformed_sd_cpue","mean_log_cpue","sd_log_cpue","mean_concentratin","sd_concentration"
"1",1975,10.0575085220067,0.206457639798807,4.59925647367683,0.297777822583028,0.845257959216733,0.0355248294572627
"2",1976,10.0843623900893,0.179291578891156,5.3277691043399,0.220206307581809,0.835917070666244,0.0277621462837569
"3",1977,9.95807383246168,0.250187837596384,4.90081287130098,0.259084652320425,0.892597031708923,0.019704797505495
"4",1978,9.90922207083422,0.20641315819931,4.56540255959121,0.213060456818005,0.834512716930039,0.0240748965374255
"5",1979,10.302276651677,0.0873551953271916,3.82685671420632,0.167586359063202,0.949590850178354,0.0112240714010555
"6",1980,9.7320202273744,0.170632584120913,4.11005829935015,0.0663182242262019,0.814613229362528,0.0259769730824025
"7",1981,8.97404706458268,0.333886483270061,2.92426747321051,0.0607692951284377,0.917231963732558,0.0224701427947913
"8",1982,8.78864179846272,0.382291134183149,2.48158714502807,0.0438483663136957,0.969469210067818,0.0127445815183254
"9",1983,8.49846183222286,0.401341605329442,1.65573797783926,0.0728001484941859,0.99002682282459,0.00371417389278245
"10",1984,9.1767006944482,0.239453631230214,3.10135634734968,0.0772146012098713,0.961633714391362,0.00793162500612165
"11",1985,8.25707568425781,0.408431364467052,2.72777494925115,0.0748797216235699,0.93021408577434,0.0158943384694561
"12",1986,9.15330217570818,0.214373819364417,3.76620764722345,0.0642232768179639,0.89824259511859,0.00887383568172717
"13",1987,10.1494237917527,0.0429020124137838,4.28492150860279,0.0377361221239972,0.822530350044063,0.00773921588900791
"14",1988,9.14184089599468,0.00340482260754825,4.2151851080738,0.000993311270961358,0.834080900753194,0.00369823924340371
"15",1989,8.53026994752493,3.92176102301112e-05,3.138600500839,0.0084815043056644,0.835881475890896,2.39459487627531e-05
"16",1990,9.17152477070077,0.00741862108213216,2.93177077990673,0.00121687618782426,0.932333589638478,0.00414301803198344
"17",1991,9.68326999101213,0.00328468500178791,3.84492167589323,0.0015164384224463,0.789003163112717,0.00408966543117761
"18",1992,9.81310751427847,0.0586415416002355,4.63499906600756,0.0547579859621051,0.729774157531386,0.0106390448635585
"19",1993,10.2303020464165,NA,4.62336458249249,NA,0.78335336791882,NA
"20",1994,10.189817316448,0.000193665323562945,4.30589130135774,0.000781761585334372,0.855246279967783,0.00186413422700894
"21",1995,9.22054022613555,NA,3.11529229991399,NA,0.885903726287997,NA
"22",1996,7.85451934801697,0.00182432767003311,1.78396570050335,0.00131903736455797,0.946908538182826,0.00160805519848184
"23",1997,7.34978392811497,NA,1.74536757085303,NA,0.973257276558812,NA
"24",1998,8.16675342439364,NA,2.81107349537575,NA,0.959469447532119,NA
"25",1999,7.51417245808961,0.0151133519155224,3.2150269192525,0.000876489769430471,0.823757719077882,0.0188578925884444
"26",2000,8.18471742242146,NA,3.32693416335877,NA,0.888681606435803,NA
"27",2001,8.29110072181268,NA,2.90249587282291,NA,0.895009337207232,NA
"28",2002,6.98605525787553,7.86813717722389e-05,1.84410020233978,0.00389090677833466,0.950477149206416,5.68336098228528e-05
"29",2003,8.50410018900636,NA,1.9324036074665,NA,0.986382640142152,NA
"30",2004,8.92066879572398,1.29887443221345e-05,2.88429183168998,0.00372314101016708,0.933213078334834,4.47416336503948e-06
"31",2005,9.15036600888795,0.000788278181410319,2.72215309106521,0.0109844401825193,0.912012720012264,0.00140040989949375
"32",2006,8.72542445572295,0.163006517783606,2.59413244890263,0.00893239915466412,0.939891587237274,0.00548162315524607
"33",2007,8.73939897330936,NA,2.52198029167124,NA,0.89037578442586,NA
"34",2008,7.54901443680014,NA,2.68002513553416,NA,0.888532598406738,NA
"35",2009,9.25307976461289,NA,3.97173218204933,NA,0.882284623379366,NA
"36",2010,10.3365864034819,NA,4.27859747773704,NA,0.779261727015888,NA
"37",2011,9.26994896132959,NA,4.1568028423968,NA,0.735019482665678,NA
"38",2012,9.1936818057823,NA,3.97514689160839,NA,0.803818802129175,NA
"39",2013,9.03088479534239,NA,3.46728048842351,NA,0.807963491452405,NA
"40",2014,9.48407448457192,NA,3.01554720602164,NA,0.896779974549854,NA
"41",2015,9.61910111296301,NA,3.10665224087117,NA,0.934257770570925,NA
"42",2016,9.99229708079686,NA,2.83564546180581,NA,0.975495883098691,NA
"43",2017,10.1686878426462,NA,2.98906160389665,NA,0.879610461636524,NA
"44",2018,10.2347141113184,NA,3.18234530646708,NA,0.925557283614138,NA
"45",2019,7.15818380306532,NA,1.53659786932897,NA,0.975373498515613,NA
"46",2021,4.57135902183516,NA,1.27148321680589,NA,0.831683666593269,NA
"47",2022,8.92720428677546,NA,2.85019488302529,NA,0.955086855204292,NA
"48",2020,NA,NA,NA,NA,NA,NA
