"year","abundance","SD"
"1975",11.9291484948964,1.52836796004075
"1976",10.9640657498735,1.3638078589936
"1977",15.0908903839991,1.47717745687963
"1978",9.07801818293346,0.893364115723308
"1979",14.897297514216,1.04475309556935
"1980",9.61484691648942,0.684619057684547
"1981",6.0517776102206,0.931228960628072
"1982",5.38757725077054,0.415987119918961
"1983",4.43175169491925,0.391473524871582
"1984",3.93504198832225,0.473099054711994
"1985",2.24138206279881,0.571977202577112
"1986",4.00886653107202,0.549928836254244
"1987",9.89071447282881,0.323019425613832
"1988",7.77735299400185,0.0799955368636896
"1989",8.54722538630559,0.00713055954748757
"1990",7.08617169466394,0.0845250722395131
"1991",9.73788761342729,0.056158473225547
"1992",7.21956936853341,0.162177151653931
"1993",10.286557144162,0.000102344683665898
"1994",9.09690286450203,0.000230652503952594
"1995",7.89400630513708,0
"1996",4.96000098849128,0.0153909434309804
"1997",3.7954675358301,0
"1998",2.80742110457193,2.22014481353328e-05
"1999",1.30903908271587,0.0475021243769459
"2000",3.08558918299313,0.000217703147796855
"2001",3.34621270117279,0
"2002",1.3314203119978,0.000839407622029211
"2003",2.38432724057371,0
"2004",3.87148993983789,0.00146131685230981
"2005",4.58345311040371,0.0448554300873197
"2006",2.90830269937163,0.125722467844231
"2007",2.91758339385562,0
"2008",2.30074381973866,0
"2009",3.05824914453084,0
"2010",7.45036063475631,0
"2011",6.33634980494525,0
"2012",5.32993266006336,0
"2013",4.42009771537535,0
"2014",5.13836638300647,0
"2015",4.28800017433915,0
"2016",5.36977283449866,0
"2017",8.18136758821528,0
"2018",11.7443222722515,0
"2019",4.29576956658431,0
"2021",0.940214212559965,0
"2022",1.95728329952606,0
"2020",NA,NA
