"","year","mean","sd"
"1975",1975,10.4471525586289,0.134413976439498
"1976",1976,10.468207900718,0.128508565171506
"1977",1977,10.4966038808528,0.163389604301116
"1978",1978,10.2460803513647,0.15107576186501
"1979",1979,10.4601700448789,0.0921550305335472
"1980",1980,10.3000287700334,0.112588686980145
"1981",1981,9.96372500044184,0.133031646033004
"1982",1982,9.82938439128389,0.143439458198885
"1983",1983,9.640853097262,0.175829478589428
"1984",1984,9.66953249425319,0.18082213904438
"1985",1985,8.77678580861602,0.334229868412845
"1986",1986,9.67508723840507,0.171131382857727
"1987",1987,10.4320150920611,0.0424528534470914
"1988",1988,10.3580306628595,0.000998750107801089
"1989",1989,10.0461133052655,0.00545553405690256
"1990",1990,9.74875878739351,0.00162261089651876
"1991",1991,10.1368335803638,0.00116031045811774
"1992",1992,10.1315465970872,0.0660184606380635
"1993",1993,10.6331196353252,4.74379295848887e-07
"1994",1994,10.4413679429585,0.000214041503959938
"1995",1995,10.2032663651594,NA
"1996",1996,9.63388045153773,0.00041132889380065
"1997",1997,8.96158443590225,NA
"1998",1998,8.6728107731507,5.07451200884988e-06
"1999",1999,7.9645447245736,0.00274884744916401
"2000",2000,8.94296077133985,3.74109339332595e-06
"2001",2001,9.37365892352592,NA
"2002",2002,8.39137834098894,4.26317049777278e-05
"2003",2003,9.14304364891044,NA
"2004",2004,9.13299784175675,0.000138788756717957
"2005",2005,9.52685544023095,0.00083440055067695
"2006",2006,8.9386495189972,0.00469848220067027
"2007",2007,9.20645274485204,NA
"2008",2008,8.83959683319336,NA
"2009",2009,8.99004906656344,NA
"2010",2010,9.88102861182784,NA
"2011",2011,9.58438714233918,NA
"2012",2012,9.2023320576624,NA
"2013",2013,8.91810615955303,NA
"2014",2014,9.33001695280156,NA
"2015",2015,9.42557368893786,NA
"2016",2016,9.90585396518972,NA
"2017",2017,10.3203043505035,NA
"2018",2018,10.8346892646271,NA
"2019",2019,9.56946780096499,NA
"2021",2021,7.04329613333359,NA
"2022",2022,8.37810175220189,NA
"1",2020,NA,NA
