"year","log_mean","sd","log_mean_lag1"
1975,10.4394981282233,0.158778385925089,NA
1976,10.4667757710992,0.145632012589804,10.4394981282233
1977,10.492592323301,0.138562475800307,10.4667757710992
1978,10.2669252706797,0.140930311700275,10.492592323301
1979,10.4747218755092,0.0858189128677806,10.2669252706797
1980,10.2735468596156,0.102287004934771,10.4747218755092
1981,9.96158336484273,0.146213967540002,10.2735468596156
1982,9.82633249800224,0.118846107964684,9.96158336484273
1983,9.62506152005829,0.178471665516421,9.82633249800224
1984,9.64884911379645,0.175690576886498,9.62506152005829
1985,8.83287412387645,0.332779348801306,9.64884911379645
1986,9.65806683458888,0.148581457757835,8.83287412387645
1987,10.4276267997636,0.0463830269472564,9.65806683458888
1988,10.3581336323893,0.000994337368797455,10.4276267997636
1989,10.04553161102,0.00470124893087686,10.3581336323893
1990,9.74856720701786,0.00131260671211927,10.04553161102
1991,10.1364312178995,0.000975477248399691,9.74856720701786
1992,10.1236068255675,0.0537439014552793,10.1364312178995
1993,10.6331196555648,6.86034588680753e-07,10.1236068255675
1994,10.4413469796034,5.34126053080559e-05,10.6331196555648
1995,10.2032663651594,0,10.4413469796034
1996,9.63389661958945,0.000450376423864946,10.2032663651594
1997,8.96158443590225,0,9.63389661958945
1998,8.6728103039579,3.94017281689031e-06,8.96158443590225
1999,7.96546135991956,0.00489450994329661,8.6728103039579
2000,8.94296026356984,2.75808443398917e-06,7.96546135991956
2001,9.37365892352592,0,8.94296026356984
2002,8.39138141191039,3.76451881507269e-05,9.37365892352592
2003,9.14304364891044,0,8.39138141191039
2004,9.13299408048092,8.37042974412535e-05,9.14304364891044
2005,9.52693787702942,0.000861655742180517,9.13299408048092
2006,8.93980132290262,0.0102799299609142,9.52693787702942
2007,9.20645274485204,0,8.93980132290262
2008,8.83959683319336,0,9.20645274485204
2009,8.99004906656344,0,8.83959683319336
2010,9.88102861182784,0,8.99004906656344
2011,9.58438714233918,0,9.88102861182784
2012,9.2023320576624,0,9.58438714233918
2013,8.91810615955303,0,9.2023320576624
2014,9.33001695280156,0,8.91810615955303
2015,9.42557368893786,0,9.33001695280156
2016,9.90585396518972,0,9.42557368893786
2017,10.3203043505035,0,9.90585396518972
2018,10.8346892646271,0,10.3203043505035
2019,9.56946780096499,0,10.8346892646271
2020,NA,NA,9.56946780096499
2021,7.04329613333359,0,NA
2022,8.37810175220189,0,7.04329613333359
